Name,Party,gid
Mr Dominic Grieve,Conservative,penal-affairs
Lord Ramsbotham,Crossbench,penal-affairs
Sarah Champion,Labour,penal-affairs
Sir Edward Garnier,Conservative,penal-affairs
Kate Green,Labour,penal-affairs
Norman Lamb,Liberal Democrat,penal-affairs
Lord Hodgson of Astley Abbotts,Conservative,penal-affairs
Richard Graham,Conservative,pensions
Nigel Mills,Conservative,pensions
Baroness Drake,Labour,pensions
Lord Gordon of Strathblane,Labour,pensions
Ian Blackford,Scottish National Party,pensions
Teresa Pearce,Labour,pensions
Alison McGovern,Labour,performers-alliance
Kerry McCarthy,Labour,performers-alliance
Thangam Debbonaire,Labour,performers-alliance
Mr Edward Vaizey,Conservative,performers-alliance
Damian Collins,Conservative,performers-alliance
Lord Clement-Jones,Liberal Democrat,performers-alliance
Pete Wishart,Scottish National Party,performers-alliance
Earl of Clancarty,Crossbench,performers-alliance
Jo Churchill,Conservative,personalised-medicine
Lord Warner,Crossbench,personalised-medicine
Sir David Amess,Conservative,personalised-medicine
Lord Hunt of Kings Heath,Labour,personalised-medicine
Chi Onwurah,Labour,personalised-medicine
Lord Patel,Crossbench,personalised-medicine
Lord Willis of Knaresborough,Liberal Democrat,personalised-medicine
Sir Kevin Barron,Labour,pharmacy
Oliver Colvile,Conservative,pharmacy
Baroness Cumberlege,Conservative,pharmacy
Lord Clement-Jones,Liberal Democrat,pharmacy
Paula Sherriff,Labour,pharmacy
Andrew Rosindell,Conservative,philately
Lord West of Spithead,Labour,philately
Sir David Amess,Conservative,philately
Earl of Kinnoull,Crossbench,philately
Lord Jones of Cheltenham,Liberal Democrat,philately
Carol Monaghan,Scottish National Party,photonics
Chris Green,Conservative,photonics
Stephen Pound,Labour,photonics
Mims Davies,Conservative,photonics
Chris Davies,Conservative,pigeon-racing
Nigel Adams,Conservative,pigeon-racing
Jenny Chapman,Labour,pigeon-racing
Nick Thomas-Symonds,Labour,pigeon-racing
Ms Margaret Ritchie,Social Democratic & Labour Party,pigeon-racing
Lord Naseby,Conservative,pigeon-racing
Sir Paul Beresford,Conservative,policing
Lord Harris of Haringey,Labour,policing
John Howell,Conservative,policing
Judith Cummins,Labour,policing
Baroness Harris of Richmond,Liberal Democrat,policing
Pauline Latham,Conservative,population-development-and-reproductive-health
Baroness Tonge,Non-affiliated,population-development-and-reproductive-health
Lord Patel,Crossbench,population-development-and-reproductive-health
Holly Lynch,Labour,population-development-and-reproductive-health
Baroness Jenkin of Kennington,Conservative,population-development-and-reproductive-health
Baroness Flather,Crossbench,population-development-and-reproductive-health
Baroness Hussein-Ece,Liberal Democrat,population-development-and-reproductive-health
Baroness Uddin,Non-affiliated,population-development-and-reproductive-health
Kirsty Blackman,Scottish National Party,population-development-and-reproductive-health
Cat Smith,Labour,population-development-and-reproductive-health
Mr Virendra Sharma,Labour,population-development-and-reproductive-health
Liz McInnes,Labour,population-development-and-reproductive-health
Baroness Massey of Darwen,Labour,population-development-and-reproductive-health
Baroness Gould of Potternewton,Labour,population-development-and-reproductive-health
Lord Rea,Labour,population-development-and-reproductive-health
Baroness Barker,Liberal Democrat,population-development-and-reproductive-health
Kevin Hollinrake,Conservative,poverty
Neil Gray,Scottish National Party,poverty
Baroness Lister of Burtersett,Labour,poverty
Mrs Flick Drummond,Conservative,poverty
Mr David Burrowes,Conservative,poverty
Jack Dromey,Labour,poverty
Mr Alan Mak,Conservative,poverty
Earl of Listowel,Crossbench,poverty
Tommy Sheppard,Scottish National Party,poverty
Baroness Sherlock,Labour,poverty
Corri Wilson,Scottish National Party,poverty
Daniel Zeichner,Labour,poverty
Kate Green,Labour,poverty
Chris Green,Conservative,poverty
Paul Flynn,Labour,prescribed-drug-dependence
Sir Oliver Letwin,Conservative,prescribed-drug-dependence
Lord Patel of Bradford,Labour,prescribed-drug-dependence
Baroness Masham of Ilton,Crossbench,prescribed-drug-dependence
Earl of Sandwich,Crossbench,prescribed-drug-dependence
Sir Kevin Barron,Labour,primary-care-and-public-health
Bob Blackman,Conservative,primary-care-and-public-health
Mr Virendra Sharma,Labour,primary-care-and-public-health
Baroness Masham of Ilton,Crossbench,primary-care-and-public-health
Stephen Metcalfe,Conservative,print
Lord O'Neill of Clackmannan,Labour,print
Lord Teverson,Liberal Democrat,print
Kevin Hollinrake,Conservative,print
Oliver Colvile,Conservative,private-rented-sector
Ms Karen Buck,Labour,private-rented-sector
Lord Whitty,Labour,private-rented-sector
Baroness Grender,Liberal Democrat,private-rented-sector
Alex Chalk,Conservative,pro-bono
Keir Starmer,Labour,pro-bono
Lord Hunt of Wirral,Conservative,pro-bono
Robert Neill,Conservative,pro-bono
Nick Thomas-Symonds,Labour,pro-bono
Alberto Costa,Conservative,pro-bono
Tom Tugendhat,Conservative,pro-bono
Joanna Cherry,Scottish National Party,pro-bono
Fiona Bruce,Conservative,pro-life
Mark Pritchard,Conservative,pro-life
Baroness Masham of Ilton,Crossbench,pro-life
John Pugh,Liberal Democrat,pro-life
Baroness Hooper,Conservative,pro-life
Robert Flello,Labour,pro-life
Mary Glindon,Labour,pro-life
Jim Shannon,Democratic Unionist Party,pro-life
Sir Edward Leigh,Conservative,pro-life
Sir Jeffrey M. Donaldson,Democratic Unionist Party,pro-life
Ms Margaret Ritchie,Social Democratic & Labour Party,pro-life
Maria Caulfield,Conservative,pro-life
Mr Chuka Umunna,Labour,proportional-representation
Ben Howlett,Conservative,proportional-representation
Caroline Lucas,Green Party,proportional-representation
Liz Saville Roberts,Plaid Cymru,proportional-representation
Tommy Sheppard,Scottish National Party,proportional-representation
Paul Flynn,Labour,proportional-representation
Mr Gavin Shuker,Labour (Co-op),prostitution-and-the-global-sex-trade
Lord McColl of Dulwich,Conservative,prostitution-and-the-global-sex-trade
Thangam Debbonaire,Labour,prostitution-and-the-global-sex-trade
Fiona Mactaggart,Labour,prostitution-and-the-global-sex-trade
Mr David Hanson,Labour,psychoactive-substances-and-volatile-substance-abuse
Mr David Burrowes,Conservative,psychoactive-substances-and-volatile-substance-abuse
Fiona Bruce,Conservative,psychoactive-substances-and-volatile-substance-abuse
Diana Johnson,Labour,psychoactive-substances-and-volatile-substance-abuse
Tom Tugendhat,Conservative,public-legal-education
Lord Low of Dalston,Crossbench,public-legal-education
Yvonne Fovargue,Labour,public-legal-education
Andy Slaughter,Labour,public-legal-education
Alex Chalk,Conservative,public-legal-education
Mr Iain Wright,Labour,publishing
Ben Howlett,Conservative,publishing
Baroness Rebuck,Labour,publishing
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,publishing
Toby Perkins,Labour,pubs
Caroline Lucas,Green Party,pubs
Charlotte Leslie,Conservative,pubs
Louise Haigh,Labour,pubs
Mr David Lammy,Labour,race-and-community
Baroness Hussein-Ece,Liberal Democrat,race-and-community
Lord Sheikh,Conservative,race-and-community
Baroness Whitaker,Labour,race-and-community
Sir Peter Bottomley,Conservative,race-and-community
Mr Laurence Robertson,Conservative,racing-and-bloodstock-industries
Sir Alan Meale,Labour,racing-and-bloodstock-industries
Philip Davies,Conservative,racing-and-bloodstock-industries
Alex Salmond,Scottish National Party,racing-and-bloodstock-industries
Viscount Falkland,Crossbench,racing-and-bloodstock-industries
Grahame Morris,Labour,racing-and-bloodstock-industries
Lord Donoughue,Labour,racing-and-bloodstock-industries
Martin Vickers,Conservative,rail
Kelvin Hopkins,Labour,rail
Lord Bradshaw,Liberal Democrat,rail
Lord Berkeley,Labour,rail
Lord Snape,Labour,rail
Lord Faulkner of Worcester,Labour,rail
Jason McCartney,Conservative,rail-in-the-north
Ian Mearns,Labour,rail-in-the-north
Martin Vickers,Conservative,rail-in-the-north
John Pugh,Liberal Democrat,rail-in-the-north
Ben Howlett,Conservative,rare-genetic-and-undiagnosed-conditions
Mrs Cheryl Gillan,Conservative,rare-genetic-and-undiagnosed-conditions
Baroness Neville-Jones,Conservative,rare-genetic-and-undiagnosed-conditions
Lord Turnberg,Labour,rare-genetic-and-undiagnosed-conditions
Lord Patel,Crossbench,rare-genetic-and-undiagnosed-conditions
Andrew Rosindell,Conservative,reform-decentralisation-and-devolution-in-the-uk
Catherine West,Labour,reform-decentralisation-and-devolution-in-the-uk
Lord Purvis of Tweed,Liberal Democrat,reform-decentralisation-and-devolution-in-the-uk
Lord Foulkes of Cumnock,Labour,reform-decentralisation-and-devolution-in-the-uk
Thangam Debbonaire,Labour,refugees
Mr David Burrowes,Conservative,refugees
Caroline Lucas,Green Party,refugees
Anne McLaughlin,Scottish National Party,refugees
Drew Hendry,Scottish National Party,regional-airports
Steve Double,Conservative,regional-airports
Catherine McKinnell,Labour,regional-airports
Chris Law,Scottish National Party,regional-airports
Yasmin Qureshi,Labour,religion-in-the-media
Baroness Butler-Sloss,Crossbench,religion-in-the-media
Lord Parekh,Labour,religion-in-the-media
Lord Harries of Pentregarth,Crossbench,religion-in-the-media
Lord Singh of Wimbledon,Crossbench,religion-in-the-media
Stephen Timms,Labour,religion-in-the-media
Mr Gary Streeter,Conservative,religion-in-the-media
Jim Shannon,Democratic Unionist Party,religion-or-belief
Baroness Berridge,Conservative,religion-or-belief
Mr Gavin Shuker,Labour (Co-op),religion-or-belief
Baroness Cox,Crossbench,religion-or-belief
Lord Singh of Wimbledon,Crossbench,religion-or-belief
Mr George Howarth,Labour,religion-or-belief
Dr Eilidh Whiteford,Scottish National Party,religion-or-belief
Jeremy Lefroy,Conservative,religion-or-belief
Fiona Bruce,Conservative,religious-education
Mary Glindon,Labour,religious-education
Mr David Burrowes,Conservative,religious-education
Lord Singh of Wimbledon,Crossbench,religious-education
Matthew Pennycook,Labour,renewable-and-sustainable-energy
Peter Aldous,Conservative,renewable-and-sustainable-energy
Dawn Butler,Labour,renewable-and-sustainable-energy
Callum McCaig,Scottish National Party,renewable-and-sustainable-energy
Baroness Maddock,Liberal Democrat,renewable-and-sustainable-energy
Mrs Madeleine Moon,Labour,reserve-forces-and-cadets
Sir Julian Brazier,Conservative,reserve-forces-and-cadets
Stella Creasy,Labour (Co-op),reserve-forces-and-cadets
Jim Fitzpatrick,Labour,reserve-forces-and-cadets
James Gray,Conservative,reserve-forces-and-cadets
Dr Julian Lewis,Conservative,reserve-forces-and-cadets
Sir David Crausby,Labour,reserve-forces-and-cadets
Robert Flello,Labour,reserve-forces-and-cadets
James Cleverly,Conservative,reserve-forces-and-cadets
Lord Freeman,Conservative,reserve-forces-and-cadets
Oliver Colvile,Conservative,reserve-forces-and-cadets
Stephen McPartland,Conservative,respiratory-health
Lord Rea,Labour,respiratory-health
Mr Ian Liddell-Grainger,Conservative,respiratory-health
Sir Kevin Barron,Labour,respiratory-health
Earl of Dundee,Conservative,respiratory-health
Jim Shannon,Democratic Unionist Party,respiratory-health
Dame Margaret Hodge,Labour,responsible-tax
Mr Richard Bacon,Conservative,responsible-tax
Lord Wood of Anfield,Labour,responsible-tax
Ian Blackford,Scottish National Party,responsible-tax
Mark Durkan,Social Democratic & Labour Party,responsible-tax
Caroline Flint,Labour,responsible-tax
Seema Malhotra,Labour (Co-op),responsible-tax
Craig Mackinlay,Conservative,responsible-tax
Luke Hall,Conservative,retail
Ann Coffey,Labour,retail
Mr Andrew Smith,Labour,retail
Helen Jones,Labour,retail
Philip Davies,Conservative,retail
Drew Hendry,Scottish National Party,retail
Kate Green,Labour,retail
Martin Vickers,Conservative,retail-crime
Rebecca Harris,Conservative,retail-crime
Mr David Lammy,Labour,retail-crime
Mark Durkan,Social Democratic & Labour Party,retail-crime
John Howell,Conservative,river-thames
Kelly Tolhurst,Conservative,river-thames
Jim Fitzpatrick,Labour,river-thames
Baroness Barker,Liberal Democrat,river-thames
Fiona Mactaggart,Labour,river-thames
Mike Wood,Conservative,road-passenger-transport
Lord Snape,Labour,road-passenger-transport
Stephen Hammond,Conservative,road-passenger-transport
Jim Dowd,Labour,road-passenger-transport
Mr David Hanson,Labour,roofing-industry
John Mc Nally,Scottish National Party,roofing-industry
Baroness Maddock,Liberal Democrat,roofing-industry
Lord Glentoran,Conservative,roofing-industry
Dr Matthew Offord,Conservative,rowing
Lord Thomas of Gresford,Liberal Democrat,rowing
Lord Paddick,Liberal Democrat,rowing
Sir Edward Leigh,Conservative,rowing
Sir Peter Bottomley,Conservative,rowing
Rebecca Pow,Conservative,rowing
Angus Brendan MacNeil,Scottish National Party,rowing
Jim Fitzpatrick,Labour,rowing
Damian Collins,Conservative,royal-television-society
Nigel Huddleston,Conservative,royal-television-society
Paul Farrelly,Labour,royal-television-society
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,royal-television-society
Greg Mulholland,Liberal Democrat,rugby-league
Lord Hoyle,Labour,rugby-league
David Mowat,Conservative,rugby-league
Paula Sherriff,Labour,rugby-league
Jason McCartney,Conservative,rugby-league
Mr Lindsay Hoyle,Labour,rugby-league
Lord Smith of Leigh,Labour,rugby-league
Ms Marie Rimmer,Labour,rugby-league
Julie Elliott,Labour,rugby-union
Lord Hayward,Conservative,rugby-union
Paul Farrelly,Labour,rugby-union
Lord Addington,Liberal Democrat,rugby-union
Toby Perkins,Labour,rugby-union
Mr Dominic Grieve,Conservative,rule-of-law
Lord Pannick,Crossbench,rule-of-law
Joanna Cherry,Scottish National Party,rule-of-law
Sir Edward Garnier,Conservative,rule-of-law
Norman Lamb,Liberal Democrat,rule-of-law
Keir Starmer,Labour,rule-of-law
Emily Thornberry,Labour,rule-of-law
Lord Woolf,Crossbench,rule-of-law
Ann Coffey,Labour,runaway-and-missing-children-and-adults
Tim Loughton,Conservative,runaway-and-missing-children-and-adults
Sir Peter Bottomley,Conservative,runaway-and-missing-children-and-adults
Baroness Hamwee,Liberal Democrat,runaway-and-missing-children-and-adults
Tulip Siddiq,Labour,runaway-and-missing-children-and-adults
Graham Evans,Conservative,running
Dr Roberta Blackman-Woods,Labour,running
David Rutley,Conservative,running
Simon Danczuk,Independent,running
Alistair Burt,Conservative,running
Julian Sturdy,Conservative,rural-business
Sue Hayman,Labour,rural-business
James Heappey,Conservative,rural-business
Simon Hoare,Conservative,rural-business
Liz Saville Roberts,Plaid Cymru,rural-business
Dr Caroline Johnson,Conservative,rural-crime
Matt Warman,Conservative,rural-crime
Nic Dakin,Labour,rural-crime
Robert Jenrick,Conservative,rural-crime
Anne Marie Morris,Conservative,rural-health-and-social-care
Norman Lamb,Liberal Democrat,rural-health-and-social-care
Michelle Donelan,Conservative,rural-health-and-social-care
Peter Kyle,Labour,rural-health-and-social-care
Mrs Anne-Marie Trevelyan,Conservative,rural-health-and-social-care
Scott Mann,Conservative,rural-health-and-social-care
Jo Churchill,Conservative,rural-services
Rebecca Pow,Conservative,rural-services
Cat Smith,Labour,rural-services
Helen Goodman,Labour,rural-services
Simon Hoare,Conservative,rural-services
Victoria Atkins,Conservative,rural-services
Lord Crathorne,Conservative,rural-services
Baroness Byford,Conservative,rural-services
Mrs Sharon Hodgson,Labour,school-food
Dr Roberta Blackman-Woods,Labour,school-food
Diana Johnson,Labour,school-food
Ruth Smeeth,Labour,school-food
John Glen,Conservative,school-food
Amanda Solloway,Conservative,school-food
Julian Sturdy,Conservative,science-and-technology-in-agriculture
Angela Smith,Labour,science-and-technology-in-agriculture
Earl of Selborne,Conservative,science-and-technology-in-agriculture
Lord Haskins,Crossbench,science-and-technology-in-agriculture
Earl of Lindsay,Conservative,science-and-technology-in-agriculture
Stephen Metcalfe,Conservative,scientific
Chi Onwurah,Labour,scientific
Lord Willis of Knaresborough,Liberal Democrat,scientific
Carol Monaghan,Scottish National Party,scientific
Lord Oxburgh,Crossbench,scientific
Brendan O'Hara,Scottish National Party,scotch-whisky
Ian Blackford,Scottish National Party,scotch-whisky
Ian Murray,Labour,scotch-whisky
John Stevenson,Conservative,scotch-whisky
Sir Peter Bottomley,Conservative,scotch-whisky
Chris Law,Scottish National Party,scotch-whisky
Michelle Thomson,Independent,scotch-whisky
Lord Purvis of Tweed,Liberal Democrat,scotch-whisky
Martin Docherty-Hughes,Scottish National Party,scotch-whisky
Gavin Newlands,Scottish National Party,scottish-sport
Ian Murray,Labour,scottish-sport
Iain Stewart,Conservative,scottish-sport
Kirsten Oswald,Scottish National Party,scottish-sport
Neil Gray,Scottish National Party,scottish-sport
Richard Arkless,Scottish National Party,scottish-sport
Hannah Bardell,Scottish National Party,scottish-sport
Ronnie Cowan,Scottish National Party,scottish-sport
Mr Richard Bacon,Conservative,self-build-custom-and-community-housebuilding-and-placemaking
John Mann,Labour,self-build-custom-and-community-housebuilding-and-placemaking
Ms Gisela Stuart,Labour,self-build-custom-and-community-housebuilding-and-placemaking
Peter Aldous,Conservative,self-build-custom-and-community-housebuilding-and-placemaking
Bill Wiggin,Conservative,self-build-custom-and-community-housebuilding-and-placemaking
David Morris,Conservative,self-employment-and-freelancing
David Rutley,Conservative,self-employment-and-freelancing
Toby Perkins,Labour,self-employment-and-freelancing
William Wragg,Conservative,self-employment-and-freelancing
Christina Rees,Labour (Co-op),sepsis
Mrs Cheryl Gillan,Conservative,sepsis
Mark Durkan,Social Democratic & Labour Party,sepsis
Baroness Greengross,Crossbench,sepsis
Mary Glindon,Labour,sepsis
Jess Phillips,Labour,sepsis
Jess Phillips,Labour,sex-equality
Jo Churchill,Conservative,sex-equality
Baroness Nye,Labour,sex-equality
Angela Crawley,Scottish National Party,sex-equality
Mr Bernard Jenkin,Conservative,sex-equality
Fiona Mactaggart,Labour,sex-equality
Diana Johnson,Labour,sexual-and-reproductive-health
Baroness Gould of Potternewton,Labour,sexual-and-reproductive-health
Ann Clwyd,Labour,sexual-and-reproductive-health
Sir Peter Bottomley,Conservative,sexual-and-reproductive-health
Baroness Flather,Crossbench,sexual-and-reproductive-health
Baroness Tonge,Non-affiliated,sexual-and-reproductive-health
Baroness Blood,Labour,sexual-and-reproductive-health
Craig Whittaker,Conservative,sexual-violence-in-conflict
Baroness Nicholson of Winterbourne,Conservative,sexual-violence-in-conflict
Bishop of Derby,Bishops,sexual-violence-in-conflict
Mr Khalid Mahmood,Labour,sexual-violence-in-conflict
Lord Finkelstein,Conservative,sexual-violence-in-conflict
Baroness Goudie,Labour,sexual-violence-in-conflict
Lord Hannay of Chiswick,Crossbench,sexual-violence-in-conflict
Baroness Hodgson of Abinger,Conservative,sexual-violence-in-conflict
Lord Loomba,Non-affiliated,sexual-violence-in-conflict
Lord McConnell of Glenscorrodale,Labour,sexual-violence-in-conflict
Lord Williams of Elvel,Labour,sexual-violence-in-conflict
Kevin Hollinrake,Conservative,shale-gas-regulation-and-planning
Mark Menzies,Conservative,shale-gas-regulation-and-planning
Tommy Sheppard,Scottish National Party,shale-gas-regulation-and-planning
Lord Truscott,Independent Labour,shale-gas-regulation-and-planning
Martyn Day,Scottish National Party,shale-gas-regulation-and-planning
Graham Evans,Conservative,shale-gas-regulation-and-planning
Julian Sturdy,Conservative,shale-gas-regulation-and-planning
Jim Fitzpatrick,Labour,shale-gas-regulation-and-planning
Mr Kevan Jones,Labour,ship-building
Mrs Flick Drummond,Conservative,ship-building
Chris Stephens,Scottish National Party,ship-building
Lord West of Spithead,Labour,ship-building
Geoffrey Clifton-Brown,Conservative,shooting-and-conservation
Mr Gavin Shuker,Labour (Co-op),shooting-and-conservation
Lord Cunningham of Felling,Labour,shooting-and-conservation
Lord Dear,Crossbench,shooting-and-conservation
Danny Kinahan,Ulster Unionist Party,shooting-and-conservation
Calum Kerr,Scottish National Party,shooting-and-conservation
Ms Diane Abbott,Labour,sickle-cell-and-thalassemia
Mr David Burrowes,Conservative,sickle-cell-and-thalassemia
Baroness Benjamin,Liberal Democrat,sickle-cell-and-thalassemia
Mr Pat McFadden,Labour,sickle-cell-and-thalassemia
Dawn Butler,Labour,sickle-cell-and-thalassemia
Rob Marris,Labour,sikhs
Chris White,Conservative,sikhs
Emma Reynolds,Labour,sikhs
Kirsten Oswald,Scottish National Party,sikhs
Adam Holloway,Conservative,sikhs
Kelvin Hopkins,Labour,sixth-form-colleges
Caroline Lucas,Green Party,sixth-form-colleges
Nic Dakin,Labour,sixth-form-colleges
Mr David Nuttall,Conservative,sixth-form-colleges
Sir Gerald Howarth,Conservative,sixth-form-colleges
Jason McCartney,Conservative,sixth-form-colleges
Nic Dakin,Labour,skills-and-employment
Heidi Allen,Conservative,skills-and-employment
Mr Barry Sheerman,Labour (Co-op),skills-and-employment
Neil Carmichael,Conservative,skills-and-employment
Marion Fellows,Scottish National Party,skills-and-employment
Baroness Garden of Frognal,Liberal Democrat,skills-and-employment
Sir Paul Beresford,Conservative,skin
Baroness Masham of Ilton,Crossbench,skin
Baroness Finlay of Llandaff,Crossbench,skin
Mrs Cheryl Gillan,Conservative,skin
Mary Glindon,Labour,skin
Robert Courts,Conservative,small-and-micro-business
David Warburton,Conservative,small-and-micro-business
Lord Harrison,Labour,small-and-micro-business
Mr Andrew Smith,Labour,small-and-micro-business
Lord Cotter,Liberal Democrat,small-and-micro-business
Simon Danczuk,Independent,small-shops
John Mc Nally,Scottish National Party,small-shops
Jim Dowd,Labour,small-shops
David Warburton,Conservative,small-shops
Mr Mark Prisk,Conservative,smart-cities
Seema Malhotra,Labour (Co-op),smart-cities
Alison Thewliss,Scottish National Party,smart-cities
James Cartlidge,Conservative,smart-cities
Earl of Erroll,Crossbench,smart-cities
Mr Stewart Jackson,Conservative,smart-cities
Jonathan Reynolds,Labour (Co-op),smart-cities
Bob Blackman,Conservative,smoking-and-health
Ian Mearns,Labour,smoking-and-health
Sir Kevin Barron,Labour,smoking-and-health
Lord Rennard,Liberal Democrat,smoking-and-health
Lord Faulkner of Worcester,Labour,smoking-and-health
Baroness O'Cathain,Conservative,smoking-and-health
Baroness Finlay of Llandaff,Crossbench,smoking-and-health
Chris White,Conservative,social-enterprise
Baroness Thornton,Labour,social-enterprise
Anna Turley,Labour (Co-op),social-enterprise
Lord Bird,Crossbench,social-enterprise
Baroness Barker,Liberal Democrat,social-enterprise
Mr Chuka Umunna,Labour,social-integration
James Berry,Conservative,social-integration
Naz Shah,Labour,social-integration
Lord Glasman,Labour,social-integration
Rushanara Ali,Labour,social-integration
Nusrat Ghani,Conservative,social-integration
Jim McMahon,Labour (Co-op),social-integration
Gavin Robinson,Democratic Unionist Party,social-integration
Suella Fernandes,Conservative,social-integration
Jon Cruddas,Labour,social-integration
Mark Durkan,Social Democratic & Labour Party,social-integration
Baroness Stroud,Conservative,social-integration
Ruth Smeeth,Labour,social-integration
Mr David Lammy,Labour,social-integration
Tulip Siddiq,Labour,social-integration
Lord Adebowale,Crossbench,social-integration
Stuart C. McDonald,Scottish National Party,social-integration
Debbie Abrahams,Labour,social-integration
Holly Lynch,Labour,social-integration
Lord Lennie,Labour,social-integration
Justin Madders,Labour,social-mobility
Baroness Tyler of Enfield,Liberal Democrat,social-mobility
Baroness Morris of Yardley,Labour,social-mobility
Lucy Allan,Conservative,social-mobility
Natalie McGarry,Independent,social-mobility
Chloe Smith,Conservative,social-mobility
Stephen Timms,Labour,social-mobility
Mrs Emma Lewell-Buck,Labour,social-work
Cat Smith,Labour,social-work
Baroness Uddin,Non-affiliated,social-work
Hywel Williams,Plaid Cymru,social-work
Sir Peter Bottomley,Conservative,social-work
Chris Davies,Conservative,soft-drinks
Mary Glindon,Labour,soft-drinks
Dr Lisa Cameron,Scottish National Party,soft-drinks
Mr Ian Liddell-Grainger,Conservative,soft-drinks
Oliver Colvile,Conservative,south-west-rail
Mr Ben Bradshaw,Labour,south-west-rail
Lord Berkeley,Labour,south-west-rail
Lord Teverson,Liberal Democrat,south-west-rail
Peter Kyle,Labour,southern-rail
Sir Nicholas Soames,Conservative,southern-rail
Nick Herbert,Conservative,southern-rail
Jeremy Quin,Conservative,southern-rail
Caroline Lucas,Green Party,southern-rail
Henry Smith,Conservative,southern-rail
David Morris,Conservative,space
Mr Nigel Evans,Conservative,space
Adam Afriyie,Conservative,space
Lord Hunt of Chesterton,Labour,space
Angus Brendan MacNeil,Scottish National Party,space
Chi Onwurah,Labour,space
Ian Paisley,Democratic Unionist Party,space
Mark Pritchard,Conservative,space
John Spellar,Labour,space
Dr Philippa Whitford,Scottish National Party,space
Mr Iain Wright,Labour,space
Sir Alan Meale,Labour,space
Liz Saville Roberts,Plaid Cymru,space
Geraint Davies,Labour (Co-op),speech-and-language-difficulties
Lord Ramsbotham,Crossbench,speech-and-language-difficulties
Sir Kevin Barron,Labour,speech-and-language-difficulties
Peter Aldous,Conservative,speech-and-language-difficulties
Ian C. Lucas,Labour,spinal-cord-injury
Baroness Masham of Ilton,Crossbench,spinal-cord-injury
John Pugh,Liberal Democrat,spinal-cord-injury
John Glen,Conservative,spinal-cord-injury
Justin Tomlinson,Conservative,sport
Baroness Grey-Thompson,Crossbench,sport
Tom Pursglove,Conservative,sport
Neil Gray,Scottish National Party,sport
Lord Addington,Liberal Democrat,sport
Lord Moynihan,Conservative,sport
Lord Hayward,Conservative,sport
Christina Rees,Labour (Co-op),sport
Christina Rees,Labour (Co-op),squash-and-racketball
Lord Young of Cookham,Conservative,squash-and-racketball
Mr Clive Betts,Labour,squash-and-racketball
Richard Graham,Conservative,squash-and-racketball
Nic Dakin,Labour,squash-and-racketball
Yasmin Qureshi,Labour,srebrenica
Baroness Hussein-Ece,Liberal Democrat,srebrenica
Richard Burden,Labour,srebrenica
Lord Sheikh,Conservative,srebrenica
Lord Hussain,Liberal Democrat,srebrenica
Andrew Rosindell,Conservative,st-georges-day
Lord West of Spithead,Labour,st-georges-day
John Mann,Labour,st-georges-day
Philip Davies,Conservative,st-georges-day
Greg Mulholland,Liberal Democrat,st-georges-day
Chris Skidmore,Conservative,st-georges-day
Tom Watson,Labour,st-georges-day
Henry Smith,Conservative,st-georges-day
Jack Lopresti,Conservative,st-georges-day
Sir Peter Bottomley,Conservative,st-georges-day
Lord Tebbit,Conservative,st-georges-day
Carolyn Harris,Labour,state-pension-inequality-for-women
Tim Loughton,Conservative,state-pension-inequality-for-women
Mhairi Black,Scottish National Party,state-pension-inequality-for-women
Caroline Lucas,Green Party,state-pension-inequality-for-women
Danny Kinahan,Ulster Unionist Party,state-pension-inequality-for-women
Mark Durkan,Social Democratic & Labour Party,state-pension-inequality-for-women
Chris Elmore,Labour,state-pension-inequality-for-women
Barbara Keeley,Labour,state-pension-inequality-for-women
Andrew Gwynne,Labour,state-pension-inequality-for-women
Scott Mann,Conservative,state-pension-inequality-for-women
Catherine McKinnell,Labour,state-pension-inequality-for-women
Caroline Ansell,Conservative,state-pension-inequality-for-women
Liz McInnes,Labour,state-pension-inequality-for-women
Gavin Newlands,Scottish National Party,state-pension-inequality-for-women
Jason McCartney,Conservative,state-pension-inequality-for-women
Ian Blackford,Scottish National Party,state-pension-inequality-for-women
Alan Brown,Scottish National Party,state-pension-inequality-for-women
Angela Crawley,Scottish National Party,state-pension-inequality-for-women
Baroness Bakewell,Labour,state-pension-inequality-for-women
Kelvin Hopkins,Labour,statistics
Lord Lipsey,Labour,statistics
Amanda Milling,Conservative,statistics
Sir Peter Bottomley,Conservative,statistics
Tom Blenkinsop,Labour,steel-and-metal-related-industries
Tom Pursglove,Conservative,steel-and-metal-related-industries
Jessica Morden,Labour,steel-and-metal-related-industries
Anna Turley,Labour (Co-op),steel-and-metal-related-industries
Angela Smith,Labour,steel-and-metal-related-industries
Mr David Burrowes,Conservative,stem-cell-transplantation
Mark Tami,Labour,stem-cell-transplantation
John Woodcock,Labour (Co-op),stem-cell-transplantation
Jason McCartney,Conservative,stem-cell-transplantation
Colleen Fletcher,Labour,stem-cell-transplantation
Baroness Masham of Ilton,Crossbench,stem-cell-transplantation
Craig Whittaker,Conservative,street-children
Ann Coffey,Labour,street-children
Mark Durkan,Social Democratic & Labour Party,street-children
Baroness Miller of Chilthorne Domer,Liberal Democrat,street-children
Paul Blomfield,Labour,students
Ben Howlett,Conservative,students
Caroline Lucas,Green Party,students
