Title,Purpose,Category,gid
All-Party Parliamentary Group for Pubs,"To promote and campaign for the interests of pubs, landlords, and the communities around these pubs.",Subject Group,pubs
All-Party Parliamentary Group on Race and Community,To increase the coverage of race and equality issues in Parliament; to update members on race equality issues and up-to-date research; and to connect the group with race equality organisations.,Subject Group,race-and-community
All-Party Parliamentary Racing and Bloodstock Industries Group,To promote the racing and bloodstock industries within Parliament; to inform member of both Houses about the industries; and to service the well-being of the industries.,Subject Group,racing-and-bloodstock-industries
All-Party Parliamentary Rail Group,To facilitate an informed debate amongst parliamentarians regarding all aspects of the UK's railway industries.,Subject Group,rail
All-Party Parliamentary Rail in the North Group,To provide a forum for parliamentarians to consider and discuss the strategic rail network in the north of England and to raise awareness of these issues in Parliament and with stakeholders.,Subject Group,rail-in-the-north
"All-Party Parliamentary Group on Rare, Genetic and Undiagnosed Conditions","To increase awareness in Parliament of rare, genetic and undiagnosed conditions and help to ensure that patients and families affected by those conditions have access to appropriate care and support.",Subject Group,rare-genetic-and-undiagnosed-conditions
"All-Party Parliamentary Group on Reform, Decentralisation and Devolution in the UK","To facilitate discussion on Reform, Decentralisation and Devolution in the UK.",Subject Group,reform-decentralisation-and-devolution-in-the-uk
All-Party Parliamentary Group on Refugees,"To provide a forum for the discussion of issues relating to refugees, both in the UK and abroad, and to promote the welfare of refugees.",Subject Group,refugees
All-Party Parliamentary Group on Regional Airports,To promote and highlight the interests of Regional Airports and the communities they serve. To ensure that Parliament is aware of the challenges currently faced by regional airports and the opportunities to maximise transport connectivity and the wider contribution to the UK economy.,Subject Group,regional-airports
All-Party Parliamentary Group on Religion in the Media,"To foster a better understanding and representation of religion in the media as religion is a prime motivator of individuals and the community. Also, to aim for a seventh public purpose for the BBC in charter renewal, namely to promote religious literacy.",Subject Group,religion-in-the-media
All-Party Parliamentary Group on International Freedom of Religion or Belief,"To raise awareness and profile of international freedom of belief as a human right amongst parliamentarians, media, government and the UK general public; and to increase effectiveness and awareness of the UK's contribution to international institutions charged with enforcing this human right.",Subject Group,religion-or-belief
All-Party Parliamentary Group on Religious Education,"To provide a medium through which parliamentarians and organisations with an interest in religious education can discuss the current provision of religious education, press for continuous improvement, promote public understanding and advocate rigorous education for every young person is religious and non-religious world views.",Subject Group,religious-education
All-Party Parliamentary Renewable and Sustainable Energy Group,To promote sustainable energy issues in Parliament and the wider political community and to discuss policy barriers to the advancement of the market for sustainable energy technologies.,Subject Group,renewable-and-sustainable-energy
All-Party Parliamentary Group for Reserve Forces and Cadets,To promote interest in Britain's Reserve Forces and generate new thinking on their role and structure.,Subject Group,reserve-forces-and-cadets
All-Party Parliamentary Group for Respiratory Health,To raise awareness of the importance of respiratory health and to promote effective policy for improving treatments and outcomes for respiratory illnesses.,Subject Group,respiratory-health
All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Subject Group,responsible-tax
All-Party Parliamentary Group on Retail,"To take a broader look at the future of retail: how technology will affect the industry in the coming years, how government policy specifically affects the retail industry - specifically in relation to skills and young people - and how that can be used to aid social mobility.",Subject Group,retail
All-Party Parliamentary Group on Retail Crime,To raise awareness of retail crime and the impact it has on retailers and shop workers.,Subject Group,retail-crime
River Thames All-Party Parliamentary Group,"To unite River Thames riparian parliamentarians to improve, protect, promote and enhance flood risk management, navigation, moorings, sport, recreation, environment, planning, tourism and education. To enhance and increase access, safety, information, employment, facilities, services, infrastructure, value and use of the entire river and its corridor environs from source to sea.",Subject Group,river-thames
All-Party Parliamentary Group on Road Passenger Transport,To provide a forum for all stakeholders in the road passenger transport industry and Members.,Subject Group,road-passenger-transport
All-Party Parliamentary Group for the Roofing Industry,To raise awareness of the roofing industry in Parliament.,Subject Group,roofing-industry
All-Party Parliamentary Group on Rowing,To support the sport of rowing both within Parliament and outside.,Subject Group,rowing
Royal Television Society All-Party Parliamentary Group,"To provide a vehicle for parliamentarians, together with members and patrons of the Royal Television Society, to debate and promote education in the air, science and technology of television and encourage high standards of creativity.",Subject Group,royal-television-society
All-Party Parliamentary Group for Rugby League,To support the sport of rugby league football.,Subject Group,rugby-league
All-Party Parliamentary Group on Rugby Union,To promote the sport of rugby union.,Subject Group,rugby-union
All-Party Parliamentary Group on the Rule of Law,To promote parliamentary and public discussion on the rule of law as a practical concept.,Subject Group,rule-of-law
All-Party Parliamentary Group on Runaway and Missing Children and Adults,"The group is formed to raise awareness about the level of risk of harm to children, young people and vulnerable adults who go missing from home or care.",Subject Group,runaway-and-missing-children-and-adults
All-Party Parliamentary Group for Running,To encourage running as a sport nationally; to support constituency running and athletics clubs; and to help employers and businesses of all sizes to encourage running in the workplace.,Subject Group,running
All-Party Parliamentary Group for Rural Business,To champion rural business and secure policy outcomes that promote the sustainable growth of the rural economy.,Subject Group,rural-business
All-Party Parliamentary Group on Rural Crime,"To bring colleagues together to look at better ways of tackling rural crime. There are many crimes that are particular to rural areas, as well as specific challenges to addressing crime in remote communities. The APPG will be looking at the issue from prevention to policing to prosecution.",Subject Group,rural-crime
All-Party Parliamentary Group on Rural Health and Social Care,To develop evidence-based policy recommendations for the government on the rural health (both mental and physical) and social care economy of England. Current models are not suited to rural areas with sparse populations and a disproportionate number of over 85s with comorbidities including isolation and other mental health problems.,Subject Group,rural-health-and-social-care
All-Party Parliamentary Group on Rural Services,To promote debate on the provision of rural services and to issue periodic reports.,Subject Group,rural-services
All-Party Parliamentary Group on School Food,"To provide a parliamentary forum for the discussion of all matters relating to food education in schools and other settings; to push the issue of food in schools up the political agenda on a cross-party basis; and to provide a forum through which external organisations concerned in matters related to school food, child hunger and food education can share best practice and establish shared positions and priorities.",Subject Group,school-food
All-Party Parliamentary Group on Science and Technology in Agriculture,To provide a forum for parliamentarians and stakeholders to debate and highlight the value of science and technology in agriculture.,Subject Group,science-and-technology-in-agriculture
Parliamentary and Scientific Committee (an All-Party Parliamentary Group),"To be a primary focus for scientific and technological issues, providing a long-term liaison between parliamentarians and scientific bodies, science-based industry and the academic world.",Subject Group,scientific
All-Party Parliamentary Group on Scotch Whisky,To promote and facilitate communication and understanding between representatives from the Scotch Whisky industry and MPs.,Subject Group,scotch-whisky
All-Party Parliamentary Group on Scottish Sport,To discuss and advance issues of importance to Scottish sport by complementing the work of the Scottish government and all Scottish governing bodies.,Subject Group,scottish-sport
"All-Party Parliamentary Group on Self-Build, Custom and Community Housebuilding and Placemaking","To promote awareness and availability of self-build housing and customer-led commissioning of housing by individuals and by groups, both for private purchase and for affordable rental – e.g. through housing co-operatives and housing associations – particularly by advocating provision of serviced plots of land; and to promote debate on placemaking.",Subject Group,self-build-custom-and-community-housebuilding-and-placemaking
All-Party Parliamentary Group for Self-Employment and Freelancing,"To raise awareness of self-employment and the freelance way of working, act as a bridge between freelancers, the self-employed and politicians; to support and promote freelancers and the self-employed and their contribution to the UK economy, and draw attention to the challenges they face.",Subject Group,self-employment-and-freelancing
All-Party Parliamentary Group on Sepsis,"To provide a medium through which Parliamentarians, organisations and those affected by Sepsis can discuss the current provision for the illness, which claims 44,000 lives in the UK every year, promote public understanding and advocate for simple, timely interventions to be implemented as standard across the NHS.",Subject Group,sepsis
All-Party Parliamentary Group on Sex Equality,To campaign for the advancement of sex equality in the UK.,Subject Group,sex-equality
All-Party Parliamentary Group on Sexual and Reproductive Health in the UK,To raise awareness in Parliament of the importance of improving all aspects of the sexual health of women and men in the UK.,Subject Group,sexual-and-reproductive-health
All-Party Parliamentary Group for the Prevention of Sexual Violence in Conflict,To follow up on the ad hoc Select Committee report on the prevention of sexual violence in conflict and to promote the campaign the report recommends.,Subject Group,sexual-violence-in-conflict
All-Party Parliamentary Group on Shale Gas Regulation and Planning,To recommend an effective regulation and planning regime should shale gas extraction take place.,Subject Group,shale-gas-regulation-and-planning
All-Party Parliamentry Group on Ship Building,The group is concerned with ship repair and the ship building industry in the UK.,Subject Group,ship-building
All-Party Parliamentary Group on Shooting and Conservation,To discuss and promote the interests and issues regarding shooting and conservation.,Subject Group,shooting-and-conservation
All-Party Parliamentary Group on Sickle Cell and Thalassemia,"To further the understanding of, and enhance treatment for, patients with Sickle Cell and Thalassemia",Subject Group,sickle-cell-and-thalassemia
All-Party Parliamentary Group for British Sikhs,To support and promote the interests of Sikhs in Britain; to work with British Sikhs to celebrate Sikh culture in the UK; and to ensure full equality for all British Sikhs.,Subject Group,sikhs
All-Party Parliamentary Group for Sixth Form Colleges,To promote and support the interests of designated sixth form colleges and to advise Government on the challenges facing the sector.,Subject Group,sixth-form-colleges
All-Party Parliamentary Group for Skills and Employment,"The APPG is a coalition of UK parliamentarians from all parties, devoted to raising the profile of skills and employment policy in the UK. The APPG brings together Parliament, employers, and the skills sector to promote and develop effective skills policy as a central means of personal and economic development for the 21st century.",Subject Group,skills-and-employment
All-Party Parliamentary Group on Skin,"To raise awareness of skin conditions in Parliament, improve treatment for patients with skin disease, improve efficiency in service commissioning and increase the number of dermatologists within the NHS.",Subject Group,skin
All-Party Parliamentary Group for Small and Micro Business,To raise awareness of small and micro business issues within parliament.,Subject Group,small-and-micro-business
All-Party Parliamentary Small Shops Group,To raise awareness of the positive economic and social contribution of small shops and the areas of public policy that affect them.,Subject Group,small-shops
Smart Cities All-Party Parliamentary Group,To engage parliamentarians who share an interest in how the digital revolution can benefit our cities and how the UK can take the lead in seizing a substantial share of the international 'smart cities' market.,Subject Group,smart-cities
All-Party Parliamentary Group on Smoking and Health,To monitor and discuss the health and social effects of smoking; to review potential change to existing legislation to reduce smoking prevalence; to assess the latest medical techniques to assist smoking cessation; and to act as a resource for members on all issues relating to smoking and public health.,Subject Group,smoking-and-health
All-Party Parliamentary Group on Social Enterprise,"To raise awareness of social enterprise amongst parliamentarians, showcase social enterprises, and discuss issues important to the movement.",Subject Group,social-enterprise
All-Party Parliamentary Group on Social Integration,To drive forward a cross-party conversation on policy solutions to break down barriers to integration and create opportunities for people from all walks of life to build bonds of trust.,Subject Group,social-integration
All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Subject Group,social-mobility
All-Party Parliamentary Group on Social Work,To promote knowledge and understanding of social work.,Subject Group,social-work
All-Party Parliamentary Group on Soft Drinks,To promote the contribution of the soft drinks industry to the UK and consider issues that affect the industry. The group will aim to raise awareness of these contributions and issues in Parliament.,Subject Group,soft-drinks
All-Party Parliametnary South West Rail Group,To support and promote improvement to rail infrastructure and services in the South West.,Subject Group,south-west-rail
All-Party Parliamentary Group on Southern Rail,"To scrutinise the operation and performance of the Southern Rail franchise with a view to ensuring service improvement by the franchise. We will act for the best interests of passengers by providing challenge to all organisations, including the government, which have a bearing on operational performance.",Subject Group,southern-rail
Parliamentary Space Committee (An All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",Subject Group,space
All-Party Parliamentary Group on Speech and Language Difficulties,To make Parliament aware that the ability to communicate is a crucial life skill for all; to increase awareness about the impact communication difficulties have on other people's lives; to highlight the importance of early identification and intervention; and to press for increased provision of speech and language therapy.,Subject Group,speech-and-language-difficulties
All-Party Parliamentary Group on Spinal Cord Injury,"To look at specific issues being faced by spinal cord injury (SCI) people, particularly relating to medical treatment, care, support and developments in treatments, as well as social care and wider issues that affect the lives of SCI people.",Subject Group,spinal-cord-injury
All-Party Parliamentary Group for Sport,"To be the central, constructive, cross-party voice for sport in Parliament.",Subject Group,sport
All-Party Parliamentary Group for Squash and Racketball,To support and raise the profile of the sports squash and racketball in parliament.,Subject Group,squash-and-racketball
All-Party Parliamentary Group on Srebrenica,"To increase awareness of the Srebrenica genocide and institutionalise 11 July in the UK as Srebrenica Memorial Day in line with the 2009 resolution of the European Parliament as the best means of honouring the victims, sending a clear message to future generations and stressing the importance of reconciliation as part of the European integration process.",Subject Group,srebrenica
St George's Day All-Party Parliamentary Group,"To promote 23 April as an annual celebration of England and the country's patron saint, St George, and to campaign for St George's Day to be established as a public holiday for the people of England.",Subject Group,st-georges-day
All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Subject Group,state-pension-inequality-for-women
All-Party Parliamentary Group on Statistics,"To serve as a parliamentary forum for the discussion of statistical issues, including the work of the UK statistics authority, the use of statistics by parliamentarians, and pre-release access to official statistics.",Subject Group,statistics
All-Party Parliamentary Group on Steel and Metal Related Industries,"To ensure a fair deal for the UK steel and metal related industries by liaising with and lobbying the government, to raise the profile of cultural, environmental and social issues in the industry and its communities, and to research and develop policies which will promote thriving steel and cast metal industries in the UK.",Subject Group,steel-and-metal-related-industries
All-Party Parliamentary Group on Stem Cell Transplantation,To inform parliamentarians about the use of stem cell transplantation in saving lives; to facilitate debate and scrutiny on the collection and use of adult stem cells and umbilical cord blood in the UK; and to promote the expansion of stem cell donation in the UK.,Subject Group,stem-cell-transplantation
All-Party Parliamentary Group on Street Children,"To work to protect and promote the rights of children worldwide and to raise the various issues they fact, particularly street children. This work includes receiving reports of human rights violations against children globally and communicating concerns to parliamentarians, ambassadors and governments.",Subject Group,street-children
All-Party Parliamentary Group on Students,To provide a forum for all parliamentarians to develop greater understanding of the range of issues affecting students in further and higher education. The group aims to ensure that student views and experiences are heard in Parliament and facilitate interaction between students and MPs and Peers.,Subject Group,students
All-Party Parliamentary Group on Suicide and Self-Harm Prevention,To raise awareness within Parliament and encourage discussion and debate of all issues involved in suicide and self-harm prevention.,Subject Group,suicide-and-self-harm-prevention
All-Party Parliamentary Sustainable Resource Group,"To develop a deeper understanding between government, parliament and the sustainable resource management sector of the sustainable management of waste.",Subject Group,sustainable-resource
All-Party Parliamentary Group for Tamils,To promote in Parliament peace with justice and dignity for Tamils in the Island of Sri Lanka and advance their development so as to recognise their legitimate socio-political aspirations.,Subject Group,tamils
All-Party Parliamentary Taxation Group,"To look at and understand tax policy and taxation on all levels including simplification and digitalisation, EU Brexit and its impact on the UK’s taxation system, and international taxation. To work in partnership with HM Treasury to create a 'safe space' for Parliamentarians and interested stakeholders to meet, discuss and develop innovative proposals to reform, simplify and make the UK’s taxation system fairer.",Subject Group,taxation
All-Party Parliamentary Group on Taxis,To support and promote the interests of the taxi trade in parliament.,Subject Group,taxis
All-Party Parliamentary Group on Tennis,"To promote the sport of tennis, and for MPs and peers to be able to play tennis matches together and compete with various outside tennis teams.",Subject Group,tennis
All-Party Parliamentary Group on Thalidomide,To provide support to those whose lives were affected by exposure to the drug Thalidomide.,Subject Group,thalidomide
All-Party Parliamentary Thrombosis Group,"To promote awareness amongst parliamentarians about the risk and management of venous thromboembolism (VTE); to increase knowledge of its causes, effects, treatments; and to monitor the implementation of government initiatives and other research being undertaken.",Subject Group,thrombosis
All-Party Parliamentary Group on Ticket Abuse,"To promote and provide a forum for the discussion of issues relating to the sale and resale of tickets for events, with a particular focus on devising solutions to the problem of ticket touting.",Subject Group,ticket-abuse
Tidy Britain All-Party Parliamentary Group,To discuss issues related to local environmental quality; to raise these issues on the parliamentary agenda and to provide a forum for an exchange of views between parliamentarians and those with local environmental quality issues.,Subject Group,tidy-britain
All-Party Parliamentary Group for Timber Industries,To help grow the use of timber and develop vibrant timber based industries across the whole supply chain in the UK.,Subject Group,timber-industries
All-Party Parliamentary Group on Tourism and Hospitality Industry in Wales,"To promote, inform and build understanding amongst parliamentarians of the issues that affect tourism and the tourism industry in Wales.",Subject Group,tourism-and-hospitality-industry-in-wales
"All-Party Parliamentary Group for Tourism, Leisure and the Hospitality Industry",To advance the benefits of tourism to the UK economy.,Subject Group,tourism-leisure-and-the-hospitality-industry
All-Party Parliamentary Group for Town Centres,"To promote parliamentary and public understanding of the importance of the role of town and city centres and their management as a key mechanism for co-ordinated action, fostering public and private sector dialogue and co-operation in order to build environments that are healthy, sustainable and socially inclusive.",Subject Group,town-centres
All-Party Parliamentary Group on Trade out of Poverty,To identify obstacles which prevent poor countries from entering into international trade and to encourage rich countries to open their markets to exports from the low income countries.,Subject Group,trade-out-of-poverty
All-Party Parliamentary Group on Transatlantic Trade,"To provide a focus for UK parliamentary cross-party support for a comprehensive transatlantic trade and investment agreement; to contribute to greater public debate and understanding of potential benefits and drawbacks for British consumers, workers, businesses; to strengthen parliamentary and public scrutiny to help secure a successful agreement.",Subject Group,transatlantic-trade
All-Party Parliamentary Group for Transport Safety,To protect human life through the promotion of transport safety for the public benefit.,Subject Group,transport-safety
All-Party Parliamentary Group on Global Tuberculosis,To accelerate the progress towards ending the TB epidemic,Subject Group,tuberculosis
All-Party Parliamentary Group on UK and Europe,To provide a forum for UK parliamentary cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to strengthen parliamentary and public support for a continuing close relationship with Europe.,Subject Group,uk-and-europe
All-Party Parliamentary Group on UK-EU Relations,To promote a positive and progressive relationship between the United Kingdom and the European Union following the outcome of the EU Referendum.,Subject Group,uk-eu-relations
All-Party Parliamentary Group on Unconventional Oil and Gas,"To provide a forum for transparent, evidence based discussion around the issue of unconventional oil and gas development in the UK.",Subject Group,unconventional-oil-and-gas
All-Party Parliamentary Group on the Union,To discuss how best to preserve and maintain the Union of Great Britain and Northern Ireland in the face of the many challenges and opportunities in the early 21st century; and to put in place an overall strategy which can accommodate the four constituent parts of the United Kingdom.,Subject Group,union
All-Party Parliamentary Group on the United Nations,"To support the aims and ideals of the United Nations. Our objective is to raise awareness among parliamentarians about the UN, including its contributions to peace and security, development and human rights; international law; and the relevance of the organisation to the British electorate.",Subject Group,united-nations
All-Party Parliamentary Group on the United Nations Global Goals for Sustainable Development,To promote the United Nations Global Goals for Sustainable Development and monitor their implementation.,Subject Group,united-nations-global-goals-for-sustainable-development
All-Party Parliamentary Group on Universities,To be the main avenue of communication between parliamentarians and vice-chancellors of the UK's universities; and to provide an opportunity to examine issues affecting the country's university sector and university research which is influencing public policy and higher level skills.,Subject Group,universities
All-Party Parliamentary Group on Vaccinations for All,"To raise the political profile of the importance of routine vaccinations both around the world and within the UK; and to encourage Government to provide leadership and sustainable funding on confronting the challenges of ensuring equitable access to vaccines to everyone, no matter where they live.",Subject Group,vaccinations-for-all
All-Party Parliamentary Group on Vascular Disease,"Raising awareness of vascular disease and encouraging actions to promote its prevention and treatment; encouraging research into the causes of vascular disease; advancing excellence and innovation in vascular health, and informing parliamentarians of the work of medical professionals, and how they can be helped to provide better services.",Subject Group,vascular-disease
All-Party Parliamentary Group on Vegetarianism and Veganism,"To provide a forum for parliamentarians, academics, organisations and interested individuals to meet to promote and raise awareness of vegetarianism and veganism and to discuss issues relating to vegetarian and vegan lifestyles.",Subject Group,vegetarianism-and-veganism
All-Party Parliamentary Veterans Group,"To maintain a strong focus from government and policy makers on the importance of veterans, young and old, to our communities and way of life and to work with the relevant service organisations to build a strong profile to enhance our work supporting veterans.",Subject Group,veterans
All-Party Parliamentary Group on Video Games,"To work with the video games industry, including with its trade bodies TIGA and UKIE, to promote within parliament the work and economic contribution of the industry.",Subject Group,video-games
All-Party Parliamentary Group for the Visitor Economy,"Enhancing our local economy by promoting measures and incentives, including a reduction of VAT on tourism, which would increase visitor numbers and investment in all parts of Britain and Northern Ireland.",Subject Group,visitor-economy
All-Party Parliamentary Group on War Heritage,"To promote and support the protection, conservation and interpretation of war graves, war memorials and battlefield sites.",Subject Group,war-heritage
All-Party Parliamentary Water Group,To provide a focus for members to monitor government and regulatory policy and maintain a dialogue with consumers and those with an interest or a duty in relation to the environment and the water industry.,Subject Group,water
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world,Subject Group,water-and-sanitation-in-the-third-world
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Subject Group,water-safety-and-drowning-prevention
All-Party Parliamentary Group for Waterways,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Subject Group,waterways
Protect our Waves All-Party Parliamentary Group,"To address the impacts of sewer overflows and untreated human sewage discharges at UK Coastal beaches, tackle marine litter on our coastlines and prevent inappropriate coastal developments on surfing resources, bathing waters and beaches in our region and around the UK.",Subject Group,waves
All-Party Parliamentary Group on Wellbeing Economics,The groups exists to: provide a forum of discussion of wellbeing issues and public policy in Parliament; provide enhancement of wellbeing as an important government goal; encourage the adoption of wellbeing indicators as complementary measures of progress to GDP; promote policies designed to enhance wellbeing.,Subject Group,wellbeing-economics
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,Subject Group,west-coast-main-line
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers, from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Subject Group,west-midlands
All-Party Parliamentary Group for the White Ribbon Campaign UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Subject Group,white-ribbon-campaign-uk
All-Party Parliamentary Wine and Spirit Group,To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers; and to introduce parliamentarians to members of the trade from their constituencies.,Subject Group,wine-and-spirit-group
Women and Enterprise All-Party Parliamentary Group,The group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross-party and across both Houses.,Subject Group,women-and-enterprise
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Subject Group,women-and-work
All-Party Parliamentary Group for Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Subject Group,women-in-parliament
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Subject Group,women-in-the-penal-system
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Subject Group,women-in-transport
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policymakers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Subject Group,women-peace-and-security
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Subject Group,womens-health
All-Party Parliamentary Group for Women's Sport and Fitness,To promote all aspects of women's sport and fitness; to raise the profile of women's sport and to promote better coverage of women's sport in the media; and to investigate ways to increase participation of girls and women in sport and reduce barriers to participation.,Subject Group,womens-sport-and-fitness
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Subject Group,wood-panel-industry
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Subject Group,writers
Yorkshire and Northern Lincolnshire All-Party Parliamentary Group,"To bring MPs of all parties together with key leaders - those in local government, the private sector and social enterprise - to help maximise future investment in the regions for the benefit of all its local communities and local economies.",Subject Group,yorkshire-and-northern-lincolnshire
All-Party Parliamentary Group for Young Disabled People,"To work within Parliament for the interests of young disabled people with mobility difficulties, in particular to fight against the social injustices experienced by these young people.",Subject Group,young-disabled-people
All-Party Parliamentary Group on Young People and Social Technology,To raise awareness of the risks and opportunities posed by technology to children and young people.,Subject Group,young-people-and-social-technology
All-Party Parliamentary Group on Youth Affairs,"To raise the profile of issues which affect and concern young people; to encourage dialogue between parliamentarians, young people and youth services; and to encourage a co-ordinated and coherent approach to policy making on youth affairs.",Subject Group,youth-affairs
All-Party Parliamentary Group on Youth Employment,"To promote youth employment in all its forms, the role of young people within the economy and their voices. To highlight the need for quality opportunities and share best practice.",Subject Group,youth-employment
All-Party Parliamentary Group for Youth Hostelling,"To promote and advance the benefits of youth hostelling in England, Wales, Scotland and Northern Ireland.",Subject Group,youth-hostelling
All-Party Parliamentary Zoos and Aquariums Group,To promote conservation through education and understanding.,Subject Group,zoos-and-aquariums
Zoroastrian All-Party Parliamentary Group,"To promote interest in the Zoroastrian Faith both inside and outside parliament, as well as improving links with fellow Zoroastrian parliamentarians from around the world.",Subject Group,zoroastrianism
The All-Party Parliamentary Football Club Group,To play football and raise money for charity.,Club,football-club
All-Party Parliamentary Group for Hockey,To promote and play Hockey.,Club,hockey
All-Party Parliamentary Commons and Lords Rugby Union Football Club Group,"To play and promote the sport of rugby union within Parliament, between national parliaments, within the community and for charitable purposes.",Club,rugby-union-football-club
